count,left,right
5,5184.0,5557.333333333333
3,5557.333333333333,5930.666666666667
12,5930.666666666667,6304.0
21,6304.0,6677.333333333333
55,6677.333333333333,7050.666666666666
195,7050.666666666666,7424.0
219,7424.0,7797.333333333333
382,7797.333333333333,8170.666666666666
560,8170.666666666666,8544.0
739,8544.0,8917.333333333332
990,8917.333333333332,9290.666666666666
1058,9290.666666666666,9664.0
1179,9664.0,10037.333333333332
1073,10037.333333333332,10410.666666666666
509,10410.666666666666,10784.0
888,10784.0,11157.333333333332
738,11157.333333333332,11530.666666666666
521,11530.666666666666,11904.0
184,11904.0,12277.333333333332
273,12277.333333333332,12650.666666666666
191,12650.666666666666,13024.0
63,13024.0,13397.333333333332
68,13397.333333333332,13770.666666666666
23,13770.666666666666,14144.0
29,14144.0,14517.333333333332
9,14517.333333333332,14890.666666666666
7,14890.666666666666,15264.0
3,15264.0,15637.333333333332
1,15637.333333333332,16010.666666666666
1,16010.666666666666,16384.0
